cue,direction
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
right,right
left,right
left,right
left,right
left,right
right,left
right,left
right,left
right,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,left
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right
none,right